postcode,ladcd,inferred_postcode_dist_m,price_pcm,bedrooms,bathrooms,property_type,lat,lon,first_seen,last_seen,furnished,floor_area_sqm
W8 7DT,E09000020,15.317557461010553,2145.0,1,1,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,2150.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,2167.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,45.986985
SW5 0DE,E09000020,21.04018232465388,2197.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,2197.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,3965.0,2,2,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,78.781744
W8 7DT,E09000020,15.317557461010553,2200.0,1,1,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,2249.0,2,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,2250.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
W14 8SB,E09000013,41.325366750603976,2250.0,1,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,
W14 8SB,E09000013,41.325366750603976,2250.0,1,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,False,48.866978
W14 8SB,E09000013,41.325366750603976,2250.0,1,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,52.02568
W14 8SB,E09000013,41.325366750603976,2253.0,3,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,
W14 8SB,E09000013,41.325366750603976,2253.0,1,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,
W14 8SB,E09000013,41.325366750603976,2275.0,2,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,46.916015
SW5 0DE,E09000020,21.04018232465388,2275.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,38.833454
SW5 0DE,E09000020,21.04018232465388,2275.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,39.205066
SW5 0DE,E09000020,21.04018232465388,2275.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,2275.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,,
SW7 5BD,E09000020,26.959162474718056,2275.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,33.44508
W14 8SB,E09000013,41.325366750603976,2297.0,2,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,
W14 8SB,E09000013,41.325366750603976,2297.0,1,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,
W14 8SB,E09000013,41.325366750603976,2319.0,2,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,73.672079
SW5 0DE,E09000020,21.04018232465388,2340.0,2,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
SW7 5BD,E09000020,26.959162474718056,2349.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,31.679923
W8 7DT,E09000020,15.317557461010553,2362.0,1,1,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,,
SW7 5BD,E09000020,26.959162474718056,2383.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,
SW7 5BD,E09000020,26.959162474718056,2383.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,
W14 8SB,E09000013,41.325366750603976,2383.0,1,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,43.014089
W14 8SB,E09000013,41.325366750603976,2383.0,1,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,
W14 8SB,E09000013,41.325366750603976,2383.0,1,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,
SW5 0DE,E09000020,21.04018232465388,2384.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,37.254103
SW5 0DE,E09000020,21.04018232465388,2384.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,56.299218
W14 8SB,E09000013,41.325366750603976,2390.0,1,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,
W8 7DT,E09000020,15.317557461010553,2400.0,2,1,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,True,
