price_pcm,bedrooms,bathrooms,property_type,lat,lon,first_seen,last_seen,furnished,floor_area_sqm
1200.0,1,1,flat,51.536496094567404,-0.47815880080482903,2025-11-24,2025-12-24,False,
1400.0,1,1,flat,51.59391036769078,-0.14430206442021803,2025-11-24,2025-12-24,False,
2300.0,1,1,flat,51.514962129890456,-0.12094964788732393,2025-11-24,2025-12-24,True,69.770153
1100.0,1,1,flat,51.50493956899489,-0.4214537614991482,2025-11-24,2025-12-24,False,
3792.0,3,2,flat,51.55257703591954,-0.17320251077586207,2025-11-24,2025-12-24,False,56.020509
2700.0,3,1,flat,51.54109474665677,-0.06487709955423476,2025-11-24,2025-12-24,True,
2300.0,2,1,flat,51.49140459244728,-0.26357970868072583,2025-11-24,2025-12-24,False,
4200.0,2,2,flat,51.47743543582988,-0.20040995747083173,2025-11-24,2025-12-24,,
4767.0,1,1,flat,51.512227242574255,-0.11839094059405941,2025-11-24,2025-12-24,True,
1600.0,2,1,flat,51.65848766610738,-0.09176492953020135,2025-11-24,2025-12-24,False,
2700.0,1,1,flat,51.51371765562914,-0.12769224613686536,2025-11-24,2025-12-24,True,
3250.0,2,2,flat,51.46722465169425,-0.16378422537431048,2025-11-24,2025-12-24,True,
1650.0,2,1,flat,51.61161560744147,-0.2752701793478261,2025-11-24,2025-12-24,False,
9997.0,4,4,house,51.513485913480885,-0.13649332494969818,2025-11-24,2025-12-24,False,
3467.0,1,1,flat,51.51371765562914,-0.12769224613686536,2025-11-24,2025-12-24,True,
2100.0,2,2,flat,51.58656358890345,-0.2535432647444299,2025-11-24,2025-12-24,True,
4498.0,4,2,flat,51.53231740171674,-0.14278790672389127,2025-11-24,2025-12-24,,
4000.0,2,2,flat,51.476676133597884,-0.13268082076719578,2025-11-24,2025-12-24,True,
4498.0,4,2,flat,51.53231740171674,-0.14278790672389127,2025-11-24,2025-12-24,,
2750.0,3,1,flat,51.46722465169425,-0.16378422537431048,2025-11-24,2025-12-24,True,
1895.0,1,1,flat,51.46722465169425,-0.16378422537431048,2025-11-24,2025-12-24,True,
2747.0,2,2,flat,51.48885917126725,-0.13352914680050187,2025-11-24,2025-12-24,False,
2200.0,3,1,house,51.4686805373599,-0.3633411942714819,2025-11-24,2025-12-24,True,82.033349
2200.0,1,1,flat,51.55257703591954,-0.17320251077586207,2025-11-24,2025-12-24,True,51.375359
7615.0,3,3,flat,51.537578291428574,-0.09824299628571428,2025-11-24,2025-12-24,False,0.092903
2350.0,2,1,flat,51.57872454561302,-0.19840827425915167,2025-11-24,2025-12-24,False,60.38695
2400.0,1,1,flat,51.498221639357645,-0.09035713554708764,2025-11-24,2025-12-24,False,
3077.0,2,2,flat,51.47743543582988,-0.20040995747083173,2025-11-24,2025-12-24,True,
14083.0,4,3,flat,51.53176616828676,-0.17474745929526125,2025-11-24,2025-12-24,False,0.185806
2492.0,1,1,flat,51.50041303916273,-0.19542366306549627,2025-11-24,2025-12-24,True,40.134096
2097.0,2,2,flat,51.498221639357645,-0.09035713554708764,2025-11-24,2025-12-24,True,
1950.0,2,1,flat,51.633305540563626,-0.12999887361229717,2025-11-24,2025-12-24,False,
2200.0,3,1,house,51.635397247619046,-0.09960870582010582,2025-11-24,2025-12-24,False,
2977.0,3,2,flat,51.54034522700729,-0.3441954109489051,2025-11-24,2025-12-24,False,87.421723
3900.0,3,1,flat,51.53231740171674,-0.14278790672389127,2025-11-24,2025-12-24,False,
3770.0,3,1,flat,51.53231740171674,-0.14278790672389127,2025-11-24,2025-12-24,True,
1668.0,1,1,flat,51.461598946068875,-0.1372472794022092,2025-11-24,2025-12-24,True,
2100.0,1,1,flat,51.55257703591954,-0.17320251077586207,2025-11-24,2025-12-24,True,43.106992
2250.0,1,1,flat,51.53231740171674,-0.14278790672389127,2025-11-24,2025-12-24,True,
2500.0,1,1,flat,51.51427735651172,-0.18967870265078754,2025-11-24,2025-12-24,False,
1798.0,1,1,flat,51.55406446794082,-0.11808778853267572,2025-11-24,2025-12-24,,
2800.0,3,2,house,51.61498433236364,-0.23603684654545454,2025-11-24,2025-12-24,False,
4500.0,2,2,flat,51.498221639357645,-0.09035713554708764,2025-11-24,2025-12-24,True,
3800.0,2,2,flat,51.61396043512974,-0.13753949201596807,2025-11-24,2025-12-24,True,
1850.0,1,1,flat,51.58656358890345,-0.2535432647444299,2025-11-24,2025-12-24,False,49.424396
3500.0,2,1,flat,51.50949878888889,-0.2397802619883041,2025-11-24,2025-12-24,,67.633384
3250.0,2,1,flat,51.53231740171674,-0.14278790672389127,2025-11-24,2025-12-24,True,
1820.0,1,1,flat,51.537578291428574,-0.09824299628571428,2025-11-24,2025-12-24,True,
2500.0,2,2,flat,51.58656358890345,-0.2535432647444299,2025-11-24,2025-12-24,False,68.934026
1900.0,1,1,flat,51.58656358890345,-0.2535432647444299,2025-11-24,2025-12-24,False,57.414054
4009.0,3,2,flat,51.49650520565371,-0.17651378798586573,2025-11-24,2025-12-24,True,86.957208
3250.0,2,2,flat,51.49068898303572,-0.13942765625,2025-11-24,2025-12-24,True,
2600.0,2,2,flat,51.55854584270242,-0.2899978896338319,2025-11-24,2025-12-24,True,66.332742
